,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
293,2018-0008,2018-01-12,CONDUCTOR,MOTO,FEMENINO,32,1,17,AVENIDA,1,-58.36659655,-34.61687778,MOTO-CARGAS,MOTO,CARGAS
294,2018-0009,2018-01-14,CONDUCTOR,MOTO,MASCULINO,19,1,2,AVENIDA,4,-58.36737389,-34.62763661,MOTO-MOTO,MOTO,MOTO
295,2018-0010,2018-01-18,CONDUCTOR,MOTO,MASCULINO,40,1,5,CALLE,10,-58.49807953,-34.63038658,MOTO-CARGAS,MOTO,CARGAS
296,2018-0011,2018-01-19,PEATON,PEATON,MASCULINO,84,1,10,AVENIDA,2,-58.39092703,-34.59088447,PEATON-PASAJEROS,PEATON,PASAJEROS
297,2018-0012,2018-01-26,CONDUCTOR,MOTO,MASCULINO,20,1,13,CALLE,8,-58.46912006,-34.68049201,MOTO-PASAJEROS,MOTO,PASAJEROS
298,2018-0013,2018-01-28,CONDUCTOR,MOTO,MASCULINO,44,1,8,AVENIDA,12,-58.48661286,-34.56786129,MOTO-AUTO,MOTO,AUTO
299,2018-0014,2018-01-31,PEATON,PEATON,MASCULINO,42,1,20,AVENIDA,7,-58.44074927,-34.65080597,PEATON-MOTO,PEATON,MOTO
300,2018-0015,2018-02-06,CONDUCTOR,MOTO,MASCULINO,28,2,1,AVENIDA,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,MOTO,PASAJEROS
301,2018-0015,2018-02-06,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19,2,1,AVENIDA,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,MOTO,PASAJEROS
302,2018-0016,2018-02-15,CONDUCTOR,MOTO,MASCULINO,31,1,10,AVENIDA,1,-58.37533517,-34.59276462,MOTO-CARGAS,MOTO,CARGAS
